Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1912,2.4,11.3,-7.6,18.9,995,316,12.4,35.7,878,796,5703,8,123,172,221,49,502,-37.7,32.9,-9999.0,558,179,59
1913,1.8,12.9,-9.7,22.6,943,310,12.5,41.7,1137,884,5901,11,124,171,231,60,614,-37.7,32.9,-9999.0,578,201,57
1914,3.1,14.4,-10.0,24.4,1217,310,10.8,46.4,860,986,5423,15,144,165,242,77,480,-37.7,32.9,-9999.0,597,245,59
1915,3.4,15.8,-7.7,23.6,1024,379,13.1,41.7,806,993,5338,22,148,152,242,90,244,-37.7,32.9,-9999.0,619,175,60
1916,1.0,12.5,-16.3,28.8,1218,363,9.1,34.5,1345,812,6184,9,116,186,242,55,799,-37.7,32.9,-9999.0,562,145,57
1917,2.5,14.6,-8.3,22.9,1054,217,11.9,67.2,988,964,5643,16,124,163,251,88,577,-37.7,32.9,-9999.0,576,312,57
1918,3.3,13.8,-6.1,19.9,962,250,13.8,55.3,830,1037,5352,16,139,189,248,59,612,-37.7,32.9,-9999.0,609,288,58
1919,2.3,14.3,-9.2,23.6,919,153,13.4,93.8,1053,985,5705,17,117,169,241,72,565,-37.7,32.9,-9999.0,605,392,55
1920,2.7,15.2,-5.8,21.1,1017,328,12.5,46.4,863,924,5582,18,128,171,245,74,519,-37.7,32.9,-9999.0,572,233,60
1921,2.8,13.1,-7.9,21.0,1058,161,12.1,81.2,866,925,5535,12,126,169,221,51,595,-37.6,33.6,-9999.0,595,351,59
1922,1.8,14.4,-11.0,25.4,910,176,13.0,82.1,1323,1079,5879,21,130,182,253,70,547,-37.6,33.6,-9999.0,623,369,55
1923,2.7,14.8,-6.0,20.8,1003,341,12.7,43.4,933,981,5558,16,128,172,232,60,597,-37.6,33.6,-9999.0,594,240,57
1924,2.4,14.0,-11.7,25.7,1009,226,12.3,61.9,1071,964,5693,13,119,171,231,60,415,-37.6,33.6,-9999.0,627,332,56
1925,4.1,15.2,-5.4,20.6,1059,327,13.3,46.3,609,1067,5081,19,141,165,249,84,634,-37.6,33.6,-9999.0,624,236,59
1926,3.7,15.3,-6.6,21.9,1038,393,13.2,39.0,677,989,5218,18,132,169,221,53,285,-37.6,33.6,-9999.0,659,217,58
1927,2.2,13.3,-11.5,24.8,1551,475,7.9,27.9,1038,903,5754,12,146,171,253,82,647,-37.6,33.6,-9999.0,541,142,63
1928,3.0,14.1,-7.1,21.2,971,238,13.4,59.3,846,978,5444,14,133,154,231,78,563,-37.6,33.6,-9999.0,589,294,59
1929,1.7,14.4,-13.8,28.2,892,207,13.1,69.7,1188,905,5915,15,114,173,225,52,493,-37.6,33.6,-9999.0,602,315,55
1930,2.5,14.3,-15.8,30.1,905,326,13.8,43.9,1111,1014,5673,18,136,173,253,79,422,-37.6,33.6,-9999.0,605,255,58
1931,3.3,14.0,-6.8,20.9,856,195,15.5,71.8,833,1035,5361,17,130,174,245,70,324,-37.2,33.6,-9999.0,633,380,57
1932,2.4,13.3,-9.2,22.5,1132,194,10.9,68.5,1048,961,5691,13,132,167,226,59,691,-37.2,33.6,-9999.0,596,323,58
1933,2.9,13.4,-5.5,18.9,1433,300,9.0,44.8,798,930,5468,13,127,184,236,52,607,-37.2,33.6,-9999.0,613,253,58
1934,4.8,13.8,-4.6,18.4,1080,168,13.7,82.1,496,1108,4823,17,152,152,230,78,459,-37.2,33.6,-9999.0,695,397,58
1935,2.1,13.2,-8.0,21.2,786,144,15.4,91.5,1003,872,5779,11,109,185,240,55,573,-37.2,33.6,-9999.0,548,373,57
1936,2.6,15.2,-5.6,20.8,1015,220,12.4,68.9,1179,1161,5600,25,134,153,238,84,573,-37.2,33.6,-9999.0,660,359,54
1937,2.0,14.5,-19.2,33.6,1216,248,9.9,58.3,1252,1014,5810,15,141,169,244,75,629,-37.2,33.6,-9999.0,598,274,58
1938,3.4,15.3,-6.3,21.6,988,192,13.6,79.8,891,1153,5311,25,143,172,259,87,615,-37.2,33.6,-9999.0,634,355,59
1939,3.7,14.4,-3.8,18.2,850,207,16.2,69.6,695,1042,5179,19,138,162,245,83,464,-37.2,33.6,-9999.0,623,373,57
1940,4.2,15.0,-7.9,22.9,942,200,15.1,75.1,792,1282,5017,28,163,157,273,116,381,-37.2,33.6,-9999.0,690,373,60
1941,4.1,15.7,-5.2,20.9,1069,456,13.1,34.5,619,1059,5087,22,154,155,247,92,281,-36.2,33.3,-9999.0,623,265,61
1942,2.7,13.6,-9.2,22.8,1184,485,10.8,28.1,929,955,5548,14,133,174,241,67,490,-36.2,33.3,-9999.0,582,209,59
1943,2.2,13.5,-11.4,24.9,1016,218,12.0,62.0,1058,895,5754,12,123,181,230,49,780,-36.2,33.3,-9999.0,589,297,58
1944,3.3,13.8,-6.9,20.7,609,243,21.8,56.7,893,1062,5362,15,140,162,251,90,238,-36.2,33.3,-9999.0,625,293,57
1945,3.1,14.4,-6.0,20.4,1283,293,10.2,49.3,816,977,5421,18,131,160,237,77,519,-36.2,33.3,-9999.0,561,288,60
1946,2.9,13.9,-6.4,20.2,1274,263,10.1,52.6,862,950,5500,14,128,176,245,69,553,-36.2,33.3,-9999.0,602,266,58
1947,3.3,14.4,-8.1,22.5,1157,337,11.5,42.8,803,989,5352,15,151,161,253,92,744,-36.2,33.3,-9999.0,586,232,60
1948,2.2,12.4,-10.1,22.5,1409,444,8.7,27.9,1089,953,5747,12,142,149,242,93,613,-36.2,33.3,11.3,548,152,61
1949,2.2,13.5,-16.2,29.6,1105,258,11.0,52.1,1200,1007,5763,15,133,157,242,85,689,-36.2,33.3,12.0,633,281,55
1950,2.0,13.7,-17.2,30.9,1478,221,8.1,61.9,1146,950,5809,14,132,184,233,49,871,-36.2,33.3,11.8,582,289,60
1951,1.9,14.2,-10.3,24.5,1533,406,7.8,34.9,1120,893,5865,13,130,162,241,79,738,-36.3,33.2,12.0,580,142,60
1952,3.3,13.7,-8.7,22.3,721,271,18.4,50.3,886,1063,5356,16,134,167,249,82,607,-36.3,33.2,12.3,628,371,56
1953,4.2,13.7,-2.9,16.6,1273,237,11.2,57.6,506,1008,5006,15,144,174,248,73,408,-36.3,33.2,12.1,591,275,61
1954,2.7,13.0,-8.2,21.2,1357,378,9.3,34.3,820,823,5592,9,138,162,249,87,749,-36.3,33.2,11.9,548,108,63
1955,1.5,13.0,-7.7,20.6,1536,350,7.5,37.1,1216,887,6005,11,126,175,240,65,569,-36.3,33.2,12.1,518,174,61
1956,2.9,14.4,-6.2,20.6,1049,291,12.3,49.6,943,1027,5500,17,141,159,242,83,888,-36.3,33.2,12.3,602,235,60
1957,2.5,13.0,-14.1,27.1,1066,250,11.7,52.0,1063,1013,5637,14,143,147,240,93,622,-36.3,33.2,11.7,592,271,59
1958,4.6,16.1,-4.1,20.2,1294,284,11.2,56.7,667,1298,4918,38,158,141,246,106,429,-36.3,33.2,11.6,644,285,61
1959,2.5,14.1,-5.9,20.0,1407,431,8.9,32.7,921,883,5655,12,136,187,256,69,729,-36.3,33.2,11.7,562,241,61
1960,2.7,16.0,-9.7,25.7,1074,243,11.8,65.6,987,1018,5576,22,136,164,238,74,713,-36.3,33.2,12.1,602,310,59
1961,3.6,16.3,-7.7,24.0,1447,379,9.4,43.0,815,1156,5280,37,144,156,227,71,602,-36.0,33.4,11.9,621,289,62
1962,3.4,12.8,-9.1,21.9,1000,259,13.4,49.6,759,963,5328,12,148,162,240,78,611,-36.0,33.4,11.9,601,281,61
1963,3.7,14.2,-11.7,25.9,1102,331,12.4,42.9,839,1131,5223,20,156,176,265,90,382,-36.0,33.4,11.9,601,228,61
1964,2.4,14.1,-8.7,22.8,1394,327,8.9,43.1,917,844,5680,10,135,170,238,68,542,-36.0,33.4,11.8,547,150,62
1965,3.2,14.2,-4.4,18.7,1110,378,11.9,37.7,773,955,5389,16,139,183,228,45,714,-36.0,33.4,11.9,572,158,61
1966,3.7,13.8,-5.9,19.7,1250,312,10.9,44.2,732,1077,5213,19,146,165,265,100,571,-36.0,33.4,12.0,604,247,61
1967,4.2,16.3,-6.3,22.6,1062,175,13.4,92.9,735,1257,5069,41,154,163,265,101,578,-36.0,33.4,12.0,642,393,60
1968,3.1,14.3,-9.0,23.2,1338,446,9.8,31.9,808,953,5434,13,145,172,258,86,440,-36.0,33.4,11.6,594,145,63
1969,2.9,13.6,-11.8,25.5,1171,404,11.0,33.8,983,1057,5501,16,146,158,258,99,755,-36.0,33.4,12.2,605,239,60
1970,3.0,15.2,-7.7,22.9,1184,278,10.9,54.8,922,1076,5489,26,134,163,228,65,555,-36.0,33.4,12.2,556,278,61
1971,2.9,16.3,-8.2,24.5,1324,318,9.7,51.3,896,990,5527,27,135,159,234,75,736,-36.3,34.1,12.1,586,203,61
1972,2.6,15.2,-9.5,24.7,1236,323,10.2,46.9,943,959,5605,18,139,155,233,78,771,-36.3,34.1,11.7,598,191,61
1973,3.5,14.8,-8.6,23.4,1031,187,13.0,79.2,823,1093,5303,23,143,172,252,80,447,-36.3,34.1,12.2,624,367,60
1974,3.7,13.6,-7.8,21.4,1334,239,10.3,56.9,713,1068,5198,18,144,176,238,62,934,-36.3,34.1,12.0,598,303,62
1975,2.4,16.1,-7.3,23.4,1271,271,9.8,59.5,975,938,5680,22,135,171,237,65,697,-36.3,34.1,11.8,508,214,62
1976,2.4,16.1,-7.3,23.4,1271,271,9.8,59.5,975,938,5680,22,135,171,237,65,697,-36.3,34.1,11.8,508,214,62
1977,3.1,14.2,-7.7,21.9,932,318,14.1,44.5,874,1023,5417,17,143,171,249,78,240,-36.3,34.1,11.9,586,251,61
1978,2.8,14.0,-9.6,23.6,960,411,13.3,33.9,928,975,5535,14,146,164,258,95,595,-36.3,34.1,11.9,589,173,61
1979,3.2,15.2,-15.4,30.5,919,178,14.4,85.1,1025,1192,5390,28,146,168,253,86,492,-36.3,34.1,12.2,632,369,58
1980,3.2,13.5,-10.8,24.2,1300,434,10.2,31.1,818,957,5373,12,154,143,252,109,441,-36.3,34.1,11.5,570,110,62
1981,3.8,15.5,-5.9,21.4,1259,496,11.0,31.3,634,997,5183,21,153,146,246,100,470,-36.0,34.3,11.9,597,179,63
1982,2.5,13.7,-7.1,20.8,1454,332,8.6,41.4,962,960,5623,14,138,177,248,71,816,-36.0,34.3,11.7,564,182,62
1983,3.3,15.0,-12.4,27.4,1287,349,10.3,43.1,792,963,5372,17,149,166,236,69,591,-36.0,34.3,11.7,591,146,64
1984,2.9,14.5,-9.3,23.8,1219,381,10.6,38.1,810,932,5495,18,136,165,235,70,454,-36.0,34.3,11.7,594,221,63
1985,2.0,16.8,-7.9,24.7,978,373,12.3,45.0,1182,1015,5832,29,139,157,240,83,537,-36.0,34.3,12.2,598,263,61
1986,3.7,15.7,-5.4,21.1,1212,393,11.3,40.0,729,1069,5191,25,160,153,250,97,590,-36.0,34.3,11.9,613,184,64
1987,4.2,13.6,-6.7,20.3,980,296,14.5,46.0,727,1193,5009,20,157,152,247,95,455,-36.0,34.3,12.3,625,252,60
1988,4.2,14.2,-7.8,22.1,1075,250,13.2,56.9,748,1188,5045,22,164,160,246,86,416,-36.0,34.3,12.2,616,271,61
1989,3.1,15.2,-5.6,20.8,1232,360,10.6,42.2,905,1051,5435,19,147,172,243,71,594,-36.0,34.3,11.9,591,205,62
1990,3.4,14.7,-10.6,25.3,1513,388,8.9,37.9,864,1120,5319,25,152,168,258,90,582,-36.0,34.3,11.9,585,193,62
1991,3.4,15.2,-8.0,23.2,1083,302,12.3,50.4,792,1040,5346,23,142,159,251,92,689,-34.6,34.4,11.9,576,239,62
1992,4.4,13.6,-8.8,22.5,1023,370,14.0,36.8,663,1161,4967,21,162,163,237,74,321,-34.6,34.4,11.7,650,178,62
1993,2.5,12.4,-9.6,22.0,1025,445,12.2,27.8,1001,916,5637,12,154,133,247,114,452,-34.6,34.4,11.3,535,74,64
1994,4.2,16.1,-5.7,21.8,943,214,15.0,75.3,766,1261,5047,37,159,150,254,104,333,-34.6,34.4,12.2,667,331,61
1995,3.4,13.7,-6.0,19.7,1444,403,9.3,33.9,732,979,5316,13,152,156,254,98,587,-34.6,34.4,11.9,553,177,65
1996,2.1,14.8,-8.8,23.6,1692,378,7.1,39.2,1080,941,5802,18,135,173,242,69,843,-34.6,34.4,12.0,561,234,62
1997,3.2,14.4,-7.2,21.6,1229,384,10.8,37.6,833,1044,5376,18,153,156,264,108,1019,-34.6,34.4,11.8,559,139,63
1998,4.7,16.8,-6.1,22.9,1312,465,11.2,36.1,676,1323,4896,48,167,150,266,116,358,-34.6,34.4,11.6,623,215,63
1999,3.9,14.8,-3.8,18.6,1123,226,12.4,65.4,562,971,5121,16,148,174,238,64,568,-34.6,34.4,12.0,578,282,64
2000,3.3,14.4,-6.8,21.2,878,249,15.2,57.8,821,1027,5348,19,148,163,247,83,428,-34.6,34.4,12.3,585,255,63
2001,4.0,15.7,-5.3,20.9,940,202,14.9,77.7,709,1174,5089,29,159,152,259,108,371,-34.6,34.4,12.0,613,328,63
2002,3.6,15.6,-4.7,20.3,1125,309,12.0,50.5,732,1063,5272,23,146,171,253,82,625,-34.6,34.4,12.1,579,269,63
2003,4.3,16.6,-5.4,22.0,1099,210,13.0,79.2,731,1275,5019,45,160,162,257,94,443,-34.6,34.4,12.1,626,331,62
2004,4.6,15.5,-4.7,20.2,1114,423,13.1,36.7,566,1152,4906,26,167,160,254,95,433,-34.6,34.4,11.5,610,115,65
2005,3.7,14.2,-6.8,21.1,1093,443,12.6,32.1,734,1047,5205,18,160,151,246,95,323,-34.6,34.4,12.0,605,200,62
2006,4.6,16.8,-4.8,21.6,1396,332,10.4,50.6,664,1287,4908,40,165,157,253,96,496,-34.6,34.4,12.2,625,250,62
2007,4.6,18.5,-6.4,24.9,1055,225,13.8,82.0,691,1301,4932,62,166,153,248,94,502,-34.6,34.4,12.2,664,322,63
2008,3.5,14.9,-8.6,23.5,1022,263,13.2,56.5,813,1076,5300,21,152,151,248,97,587,-34.6,34.4,12.1,591,239,62
2009,3.6,15.4,-8.0,23.4,1064,258,12.8,59.9,845,1176,5276,30,149,160,261,101,553,-34.6,34.4,12.2,604,271,62
2010,4.0,13.8,-5.3,19.1,1256,485,11.2,28.5,596,1012,5086,15,164,171,261,91,378,-34.6,34.4,11.7,577,159,66
2011,3.4,15.2,-5.0,20.2,1317,274,10.1,55.4,799,1059,5325,23,154,161,260,99,781,-34.6,34.4,-9999.0,561,239,64
2012,4.5,15.7,-4.2,19.9,1571,438,9.2,35.8,591,1182,4931,31,170,161,254,93,553,-34.6,34.4,-9999.0,593,209,65
2013,4.4,16.3,-6.1,22.4,1079,477,13.4,34.2,670,1262,4972,40,166,150,273,122,412,-34.6,34.4,-9999.0,593,200,65
2014,4.1,16.6,-4.2,20.8,1264,303,11.1,54.8,769,1227,5074,37,169,150,255,104,543,-34.6,34.4,-9999.0,589,221,64
2015,5.6,15.6,-3.7,19.3,1049,149,14.9,105.0,505,1408,4554,44,180,153,250,97,359,-34.6,34.4,-9999.0,675,420,63
2016,5.0,14.6,-8.6,23.2,1269,296,11.8,49.4,571,1232,4763,23,193,144,255,111,421,-34.6,34.4,-9999.0,636,269,66
2017,4.2,16.7,-8.3,25.0,1319,139,10.7,120.0,809,1327,5068,51,168,145,259,113,668,-34.6,34.4,-9999.0,656,414,64
2018,4.4,15.5,-3.8,19.3,991,151,14.5,103.0,657,1217,4967,30,171,127,253,126,575,-34.6,34.4,-9999.0,600,371,65
2019,3.6,15.0,-3.3,18.3,925,260,14.7,57.8,794,1136,5243,24,163,138,265,127,409,-34.6,34.4,-9999.0,565,265,64
