Year,Ave Temp,Warmest Month,Coldest Month,Difference,Mean Precip,May-Sep Precip,Heat-Moist I,Summer Heat-Moist I,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Begin FFP,End FFP,Frost Free Period,Snowfall,Min Temp (30),Max Temp (30),Radiation,Evaporation,Moisture Deficit,Relative Humidity
1956,-1.9,10.5,-15.0,25.5,1269,330,6.4,31.8,1932,514,7218,1,103,176,234,59,1119,-49.1,27.3,17.5,387,115,59
1957,-2.4,9.3,-20.2,29.5,1203,478,6.3,19.4,2024,419,7417,0,94,169,241,72,814,-49.1,27.3,10.1,371,18,59
1958,-0.7,11.2,-10.1,21.4,1271,512,7.4,22.0,1622,626,6784,6,113,162,232,70,742,-49.1,27.3,12.8,431,87,61
1959,-2.5,10.5,-14.3,24.8,1425,619,5.3,17.0,1936,371,7458,1,89,189,231,42,800,-49.1,27.3,13.5,344,29,61
1960,-1.7,12.2,-15.4,27.6,925,385,9.0,31.6,1885,539,7160,2,106,181,231,50,726,-49.1,27.3,15.8,398,98,59
1961,-1.3,11.4,-15.2,26.7,1241,480,7.0,23.9,1799,621,7013,4,104,167,218,51,662,-49.1,27.3,14.9,406,58,60
1962,-1.3,9.0,-13.9,22.9,1114,453,7.8,19.9,1630,405,7024,3,91,189,223,34,836,-49.1,27.3,12.1,389,39,59
1963,-0.8,9.8,-16.7,26.5,1101,515,8.3,19.0,1643,523,6862,2,108,188,256,67,628,-49.1,27.3,12.6,403,20,60
1964,-2.5,10.2,-18.6,28.8,1113,522,6.7,19.5,1979,387,7467,0,90,174,220,46,568,-49.1,27.3,11.4,374,8,61
1965,-2.2,10.9,-13.6,24.4,1372,634,5.7,17.2,1910,467,7334,2,96,187,197,10,760,-49.1,27.3,11.0,373,0,60
1966,-1.7,9.0,-15.2,24.2,1283,563,6.4,16.0,1805,418,7182,3,103,163,247,84,769,-49.1,27.3,12.4,353,8,61
1967,-1.5,11.5,-14.2,25.7,1134,292,7.5,39.2,1860,589,7097,5,103,169,249,80,821,-49.1,27.3,17.5,400,126,59
1968,-2.2,9.7,-18.1,27.8,1126,492,6.9,19.7,1881,365,7368,0,94,176,238,62,641,-49.1,27.3,9.1,338,5,60
1969,-2.3,8.8,-23.6,32.5,1049,514,7.3,17.2,2049,447,7392,0,100,180,242,62,706,-49.1,27.3,15.8,414,11,58
1970,-2.4,11.0,-16.3,27.3,963,396,7.9,27.8,2097,542,7427,1,98,172,215,43,493,-49.1,27.3,18.2,378,78,58
1971,-2.6,12.4,-18.8,31.2,1168,396,6.4,31.2,2100,514,7485,3,98,175,226,51,787,-49.1,27.3,17.1,370,103,59
1972,-3.3,10.4,-18.9,29.4,1422,594,4.7,17.5,2228,390,7734,1,92,170,216,46,930,-49.1,27.3,11.7,338,54,60
1973,-2.1,9.5,-13.0,22.4,1071,430,7.4,22.0,1895,412,7312,4,97,169,237,68,743,-49.1,27.3,15.1,359,36,60
1974,-1.5,9.0,-15.3,24.2,1072,355,7.9,25.3,1689,425,7100,1,95,195,226,31,799,-49.1,27.3,11.5,381,86,60
1975,-3.0,11.4,-16.8,28.2,1095,413,6.4,27.6,2153,408,7637,1,92,175,232,56,551,-49.1,27.3,11.8,338,26,61
1976,-1.3,9.0,-10.7,19.7,1079,558,8.1,16.1,1604,416,7007,8,106,168,250,83,792,-49.1,27.3,15.6,335,0,63
1977,-2.1,8.4,-17.0,25.4,1102,564,7.2,15.0,1849,375,7320,1,96,184,229,45,502,-49.1,27.3,14.8,335,21,62
1978,-2.3,10.3,-15.8,26.2,1125,530,6.9,19.5,1988,435,7380,0,109,185,242,58,701,-49.1,27.3,16.2,354,0,62
1979,-2.1,10.7,-19.9,30.6,924,300,8.5,35.8,2030,528,7309,0,107,183,241,58,598,-49.1,27.3,13.4,392,88,59
1980,-1.8,9.3,-17.3,26.7,1333,615,6.1,15.2,1785,382,7222,0,106,168,232,64,684,-49.1,27.3,9.3,402,37,63
1981,-0.7,11.9,-13.5,25.4,1063,614,8.8,19.3,1462,468,6795,3,104,166,238,72,764,-49.1,27.3,9.7,346,42,63
1982,-3.1,8.7,-17.4,26.1,1155,505,6.0,17.2,2220,403,7683,0,102,179,238,58,696,-49.1,27.3,10.6,338,10,60
1983,-1.9,10.7,-21.0,31.7,995,473,8.1,22.7,1818,427,7251,1,98,173,217,43,608,-49.1,27.3,11.6,344,39,62
1984,-2.3,10.2,-18.6,28.8,1137,519,6.8,19.6,1901,403,7405,0,89,179,219,40,527,-49.1,27.3,11.0,339,55,61
1985,-3.1,11.8,-13.4,25.1,1034,515,6.7,22.8,2170,417,7658,3,87,168,208,41,653,-49.1,27.3,15.2,362,66,61
1986,-1.3,10.2,-13.5,23.8,1197,644,7.3,15.9,1601,411,7012,3,100,169,222,53,636,-49.1,27.3,11.5,367,25,63
1987,-0.3,9.2,-12.7,21.9,923,517,10.5,17.8,1429,479,6668,6,109,182,240,57,368,-49.1,27.3,15.1,432,14,61
1988,-1.1,9.2,-14.4,23.6,1205,639,7.4,14.3,1656,468,6949,2,109,175,231,56,505,-49.1,27.3,14.9,386,4,61
1989,-1.9,10.8,-16.2,27.0,1256,554,6.4,19.6,1846,460,7232,0,102,182,233,51,635,-49.1,27.3,12.2,358,31,61
1990,-2.1,10.0,-18.4,28.4,1355,496,5.9,20.2,1957,485,7299,1,103,180,239,58,722,-49.1,27.3,10.9,354,31,62
1991,-1.3,11.0,-13.9,24.9,1024,475,8.5,23.2,1647,466,7021,3,100,175,236,61,773,-49.1,27.3,10.6,352,24,62
1992,-0.9,9.2,-17.5,26.8,1013,520,9.0,17.8,1503,415,6889,0,100,185,219,34,481,-49.1,27.3,10.6,350,3,63
1993,-1.8,7.6,-14.4,22.0,1182,711,6.9,10.7,1745,345,7201,4,101,160,229,69,553,-49.1,27.3,8.3,330,0,62
1994,-1.2,11.5,-14.5,26.0,1042,402,8.5,28.7,1730,548,6969,1,109,174,242,68,605,-49.1,27.3,13.2,381,77,62
1995,-1.9,8.7,-14.3,23.0,1300,631,6.2,13.7,1792,367,7264,3,97,182,237,54,655,-49.1,27.3,13.9,340,0,63
1996,-3.4,10.2,-18.5,28.6,1146,429,5.7,23.7,2325,437,7800,0,94,193,229,36,717,-49.1,27.3,15.2,346,55,61
1997,-1.5,9.0,-13.0,22.0,930,477,9.1,18.8,1696,407,7118,4,101,167,242,75,752,-49.1,27.3,15.3,347,2,63
1998,-0.5,12.2,-13.9,26.0,993,422,9.6,28.8,1639,650,6737,5,119,163,244,81,462,-49.1,27.3,11.3,388,81,63
1999,-1.1,10.0,-10.2,20.1,893,414,9.9,24.1,1456,349,6965,6,89,192,225,33,570,-49.1,27.3,17.6,330,41,65
2000,-1.9,9.6,-13.5,23.1,711,341,11.4,28.1,1747,376,7236,3,94,190,231,41,455,-49.1,27.3,17.2,340,62,64
2001,-1.0,11.1,-13.2,24.3,656,248,13.8,44.8,1630,520,6890,3,108,168,245,77,419,-49.1,27.3,12.3,373,147,63
2002,-1.8,10.8,-11.2,22.0,793,397,10.4,27.1,1750,424,7200,4,93,187,235,48,499,-49.1,27.3,16.4,356,52,63
2003,-0.9,11.8,-11.1,22.8,1018,346,9.0,34.0,1618,575,6864,6,107,185,233,48,529,-49.1,27.3,16.9,406,125,63
2004,-0.6,10.5,-11.4,21.9,997,536,9.4,19.6,1403,451,6773,4,102,194,226,32,401,-49.1,27.3,12.3,345,10,65
2005,-0.8,9.7,-11.1,20.8,1092,695,8.4,14.0,1430,387,6857,6,100,172,221,49,554,-49.1,27.3,15.6,344,18,65
2006,-0.3,11.8,-10.8,22.6,914,403,10.6,29.4,1511,597,6662,7,115,177,247,70,463,-49.1,27.3,14.1,433,34,64
2007,-0.9,13.0,-13.2,26.3,988,466,9.2,27.9,1560,513,6868,3,105,176,224,49,432,-49.1,27.3,12.2,365,66,66
2008,-1.2,9.6,-15.0,24.6,1190,590,7.4,16.3,1648,432,6998,1,102,164,229,66,686,-49.1,27.3,14.0,380,0,64
2009,-1.4,10.3,-16.8,27.1,1011,435,8.5,23.7,1769,492,7076,1,103,173,251,78,571,-49.1,27.3,16.5,374,21,63
2010,-0.5,9.3,-11.7,21.0,799,396,11.8,23.5,1367,394,6756,6,99,196,228,32,438,-49.1,27.3,12.4,369,51,63
2011,-1.5,9.9,-13.1,23.0,1241,493,6.8,20.1,1730,456,7091,3,106,164,239,74,696,-49.1,27.3,-9999.0,351,22,64
2012,-0.5,11.9,-12.9,24.8,1268,518,7.5,23.0,1530,589,6723,5,112,184,242,58,661,-49.1,27.3,-9999.0,381,56,64
2013,-0.3,10.8,-12.3,23.2,1166,590,8.3,18.3,1479,572,6653,5,118,166,246,81,566,-49.1,27.3,-9999.0,375,34,65
2014,-0.8,12.2,-14.9,27.1,1234,550,7.5,22.1,1627,584,6825,3,119,172,236,64,634,-49.1,27.3,-9999.0,393,32,65
2015,0.6,10.8,-11.0,21.8,1123,500,9.5,21.6,1216,590,6319,6,118,180,228,48,394,-49.1,27.3,-9999.0,415,53,63
2016,0.2,10.1,-15.7,25.8,1121,527,9.1,19.1,1307,514,6487,1,121,183,235,52,494,-49.1,27.3,-9999.0,404,34,66
2017,-0.7,11.7,-12.3,23.9,1115,292,8.3,39.9,1641,608,6800,4,117,169,237,68,797,-49.1,27.3,-9999.0,393,150,66
2018,-1.1,10.5,-14.9,25.4,1104,460,8.0,22.8,1642,505,6950,1,116,150,226,75,703,-49.1,27.3,-9999.0,356,42,67
2019,-1.7,9.5,-17.4,26.9,1244,616,6.7,15.4,1749,427,7135,0,112,166,245,79,494,-49.1,27.3,-9999.0,332,5,65
