Month,Year,Max Temp,Min Temp,Ave Temp,Precipitation,Radiation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
Feb,1909,-3.2,-8.7,-6.0,265,-9999.0,186,0,667,0,1,241,0,0,77
Mar,1909,1.4,-7.1,-2.9,86,-9999.0,124,0,649,0,2,77,0,0,66
Apr,1909,3.7,-6.6,-1.5,39,-9999.0,86,0,584,0,2,35,0,0,61
May,1909,8.1,-2.7,2.7,64,-9999.0,18,22,475,0,6,36,65,1,62
Jun,1909,14.2,1.5,7.8,36,-9999.0,1,95,306,0,19,3,92,56,59
Jul,1909,14.6,4.4,9.5,58,-9999.0,0,139,263,0,29,3,88,29,67
Aug,1909,14.2,4.4,9.3,88,-9999.0,0,133,271,0,28,6,72,0,68
Sep,1909,12.6,3.8,8.2,97,-9999.0,1,107,296,2,24,9,47,0,71
Oct,1909,6.1,-0.7,2.7,128,-9999.0,24,29,476,0,13,31,22,0,76
Nov,1909,0.5,-6.5,-3.0,307,-9999.0,127,0,630,1,3,197,0,0,71
Dec,1909,-3.9,-11.1,-7.5,72,-9999.0,244,0,786,0,1,65,0,0,70
Jan,1910,-2.3,-9.2,-5.7,194,-9999.0,198,0,737,0,1,146,0,0,71
Feb,1910,-4.5,-12.0,-8.3,191,-9999.0,240,0,732,0,0,185,0,0,68
Mar,1910,3.1,-4.9,-0.9,88,-9999.0,81,0,588,0,4,63,0,0,69
Apr,1910,6.2,-3.9,1.1,63,-9999.0,40,8,506,0,4,41,46,0,63
May,1910,11.5,-1.0,5.2,67,-9999.0,5,49,396,0,11,18,78,11,59
Jun,1910,12.4,1.3,6.9,65,-9999.0,2,75,334,0,19,9,83,18,64
Jul,1910,17.0,4.9,11.0,18,-9999.0,0,183,219,0,29,1,100,82,62
Aug,1910,14.6,4.4,9.5,71,-9999.0,0,136,266,0,28,4,74,3,67
Sep,1910,12.9,3.5,8.2,108,-9999.0,1,108,295,2,24,10,49,0,69
Oct,1910,6.0,-0.6,2.7,327,-9999.0,23,30,476,0,13,80,22,0,77
Nov,1910,1.6,-5.1,-1.8,244,-9999.0,97,0,593,1,4,127,0,0,74
Dec,1910,0.8,-4.8,-2.0,173,-9999.0,102,0,618,0,4,76,0,0,67
Jan,1911,-7.3,-12.5,-9.9,199,-9999.0,310,0,865,0,0,187,0,0,77
Feb,1911,-3.7,-11.0,-7.4,38,-9999.0,219,0,706,0,0,36,0,0,69
Mar,1911,2.2,-6.3,-2.0,79,-9999.0,104,0,622,0,2,66,0,0,67
Apr,1911,4.3,-6.6,-1.2,62,-9999.0,79,0,574,0,2,54,0,0,59
May,1911,8.4,-1.4,3.5,111,-9999.0,12,29,449,0,10,51,64,0,66
Jun,1911,13.2,1.8,7.5,39,-9999.0,1,88,315,0,20,4,86,47,63
Jul,1911,17.1,5.0,11.1,22,-9999.0,0,187,215,1,29,1,101,78,62
Aug,1911,15.3,5.1,10.2,98,-9999.0,0,158,244,0,29,5,76,0,67
Sep,1911,10.5,3.0,6.7,162,-9999.0,3,75,339,0,23,23,41,0,75
Oct,1911,7.4,-2.2,2.6,47,-9999.0,25,29,480,0,8,12,26,0,66
Nov,1911,-1.7,-9.0,-5.4,273,-9999.0,183,0,701,0,1,224,0,0,69
Dec,1911,-1.6,-6.9,-4.2,148,-9999.0,155,0,686,0,2,101,0,0,77
Jan,1912,-3.4,-9.6,-6.5,177,-9999.0,218,0,760,0,1,142,0,0,73
Feb,1912,0.2,-6.2,-3.0,131,-9999.0,115,0,584,0,2,90,0,0,73
Mar,1912,2.3,-9.3,-3.5,6,-9999.0,140,0,669,0,1,5,0,0,55
Apr,1912,3.4,-4.1,-0.3,70,-9999.0,62,0,549,0,4,57,0,0,71
May,1912,9.7,-0.3,4.7,27,-9999.0,7,42,414,0,13,9,69,42,66
Jun,1912,15.5,3.1,9.3,58,-9999.0,0,132,262,0,24,2,96,38,61
Jul,1912,14.8,5.4,10.1,59,-9999.0,0,155,246,0,30,2,86,27,69
Aug,1912,13.3,5.5,9.4,162,-9999.0,0,136,267,0,29,10,65,0,74
Sep,1912,11.7,1.8,6.8,81,-9999.0,3,76,337,0,20,11,47,0,67
Oct,1912,4.5,-2.8,0.9,129,-9999.0,45,17,533,0,7,64,21,0,73
Nov,1912,2.3,-4.5,-1.1,214,-9999.0,82,0,572,1,5,96,0,0,73
Dec,1912,-1.1,-6.8,-4.0,164,-9999.0,147,0,678,0,2,106,0,0,78
Jan,1913,-6.3,-13.1,-9.7,178,-9999.0,304,0,858,0,0,167,0,0,71
Feb,1913,-2.9,-11.9,-7.4,130,-9999.0,220,0,707,0,0,124,0,0,62
Mar,1913,-2.1,-9.4,-5.8,101,-9999.0,201,0,738,0,1,99,0,0,69
Apr,1913,4.5,-3.9,0.3,70,-9999.0,52,4,530,0,4,52,40,0,69
May,1913,8.8,-1.1,3.8,49,-9999.0,10,32,439,0,10,21,65,16,66
Jun,1913,12.8,2.2,7.5,102,-9999.0,1,88,315,0,22,10,83,0,65
Jul,1913,14.7,4.8,9.7,74,-9999.0,0,145,257,0,29,3,87,13,68
Aug,1913,14.8,6.0,10.4,114,-9999.0,0,165,238,1,30,5,71,0,71
Sep,1913,10.6,2.8,6.7,186,-9999.0,3,75,339,0,22,26,42,0,74
Oct,1913,4.4,-2.3,1.1,157,-9999.0,41,18,526,0,8,72,20,0,75
Nov,1913,1.4,-6.0,-2.3,281,-9999.0,110,0,609,1,3,161,0,0,70
Dec,1913,0.1,-6.4,-3.2,4,-9999.0,128,0,654,0,3,2,0,0,75
Jan,1914,-1.5,-6.2,-3.8,335,-9999.0,148,0,678,0,3,196,0,0,80
Feb,1914,-2.0,-8.8,-5.4,160,-9999.0,172,0,652,0,1,141,0,0,71
Mar,1914,2.4,-5.6,-1.6,105,-9999.0,95,0,609,0,3,83,0,0,69
Apr,1914,5.9,-2.7,1.6,114,-9999.0,35,10,492,0,7,65,44,0,69
May,1914,11.3,-0.7,5.3,42,-9999.0,5,51,394,0,12,11,77,35,60
Jun,1914,13.3,1.6,7.5,77,-9999.0,1,87,317,0,20,8,87,10,62
Jul,1914,16.3,5.2,10.8,16,-9999.0,0,176,225,0,30,1,95,79,65
Aug,1914,16.9,4.7,10.8,14,-9999.0,0,178,225,1,28,1,85,71,61
Sep,1914,10.4,4.1,7.3,253,-9999.0,2,86,322,1,25,30,39,0,79
Oct,1914,7.9,0.7,4.3,221,-9999.0,13,47,425,0,17,24,25,0,75
Nov,1914,2.6,-4.0,-0.7,274,-9999.0,75,0,561,1,6,114,0,0,74
Dec,1914,-2.8,-10.5,-6.6,2,-9999.0,221,0,760,0,1,2,0,0,73
Jan,1915,-1.6,-8.5,-5.0,118,-9999.0,179,0,715,0,2,82,0,0,71
Feb,1915,0.5,-6.0,-2.7,142,-9999.0,109,0,577,0,3,94,0,0,73
Mar,1915,4.4,-4.4,0.0,61,-9999.0,66,0,560,0,4,36,0,0,67
Apr,1915,8.4,-1.9,3.3,75,-9999.0,20,23,442,0,9,25,52,0,64
May,1915,9.4,0.4,4.9,64,-9999.0,6,45,406,0,16,20,65,1,70
Jun,1915,14.7,2.7,8.7,32,-9999.0,1,116,280,0,23,2,92,60,61
Jul,1915,16.3,6.3,11.3,37,-9999.0,0,194,208,1,30,1,92,55,68
Aug,1915,18.3,6.6,12.5,23,-9999.0,0,233,173,3,30,0,88,66,63
Sep,1915,11.9,3.5,7.7,36,-9999.0,2,96,310,1,24,4,45,9,72
Oct,1915,7.0,0.8,3.9,230,-9999.0,15,41,439,0,17,31,22,0,78
Nov,1915,0.3,-6.6,-3.2,136,-9999.0,131,0,635,1,2,89,0,0,71
Dec,1915,-1.4,-6.9,-4.1,238,-9999.0,152,0,683,0,2,159,0,0,67
Jan,1916,-11.5,-18.0,-14.7,167,-9999.0,459,0,1013,0,0,165,0,0,70
Feb,1916,-2.3,-9.7,-6.0,197,-9999.0,186,0,668,0,1,179,0,0,69
Mar,1916,0.3,-5.5,-2.6,282,-9999.0,119,0,642,0,3,249,0,0,76
Apr,1916,4.1,-3.3,0.4,96,-9999.0,51,9,528,0,5,70,38,0,72
May,1916,7.9,-1.8,3.0,48,-9999.0,15,25,464,0,8,25,62,15,66
Jun,1916,13.8,2.3,8.1,57,-9999.0,1,100,299,0,22,4,89,31,63
Jul,1916,12.4,4.7,8.6,68,-9999.0,0,112,293,0,29,5,73,5,75
Aug,1916,16.2,5.2,10.7,48,-9999.0,0,175,227,1,29,2,80,32,65
Sep,1916,13.0,3.0,8.0,18,-9999.0,2,103,301,1,23,2,50,32,67
Oct,1916,7.2,-3.3,1.9,28,-9999.0,31,24,499,0,6,9,27,0,63
Nov,1916,0.6,-7.3,-3.4,138,-9999.0,135,0,641,0,2,93,0,0,68
Dec,1916,-5.0,-11.2,-8.1,135,-9999.0,261,0,807,0,1,124,0,0,77
Jan,1917,-3.8,-9.7,-6.7,55,-9999.0,224,0,767,0,1,45,0,0,74
Feb,1917,-4.1,-11.6,-7.8,130,-9999.0,230,0,719,0,0,125,0,0,68
Mar,1917,-2.1,-10.1,-6.1,140,-9999.0,210,0,749,0,1,138,0,0,67
Apr,1917,2.5,-4.9,-1.2,120,-9999.0,80,0,575,0,3,106,0,0,71
May,1917,8.8,-1.2,3.8,35,-9999.0,11,31,441,0,10,15,66,31,66
Jun,1917,11.5,1.5,6.5,125,-9999.0,2,68,346,0,19,20,78,0,67
Jul,1917,16.8,4.7,10.7,36,-9999.0,0,176,226,0,29,1,99,64,62
Aug,1917,18.2,5.9,12.0,60,-9999.0,0,218,187,2,30,2,89,29,62
Sep,1917,13.1,4.3,8.7,102,-9999.0,1,121,280,2,25,8,48,0,71
Oct,1917,8.1,-0.3,3.9,84,-9999.0,15,41,439,0,14,12,26,0,71
Nov,1917,6.1,-0.5,2.8,119,-9999.0,27,23,456,1,13,18,13,0,77
Dec,1917,-1.7,-7.6,-4.7,313,-9999.0,166,0,699,0,2,225,0,0,73
Jan,1918,-1.3,-6.2,-3.7,173,-9999.0,146,0,675,0,3,99,0,0,79
Feb,1918,-3.2,-9.9,-6.6,323,-9999.0,201,0,684,0,1,300,0,0,72
Mar,1918,-0.4,-6.6,-3.5,251,-9999.0,141,0,669,0,2,234,0,0,74
Apr,1918,6.4,-4.4,1.0,32,-9999.0,41,7,509,0,4,21,47,15,61
May,1918,8.7,-1.0,3.8,35,-9999.0,10,32,439,0,11,15,65,30,66
Jun,1918,16.1,2.7,9.4,48,-9999.0,0,135,258,0,23,2,100,53,58
Jul,1918,16.9,6.5,11.7,61,-9999.0,0,207,196,1,30,1,96,34,67
Aug,1918,14.3,5.7,10.0,142,-9999.0,0,153,249,0,29,7,70,0,72
Sep,1918,17.7,4.4,11.1,0,-9999.0,0,188,205,4,25,0,65,65,58
Oct,1918,7.1,-0.4,3.4,210,-9999.0,18,36,455,0,13,37,24,0,74
Nov,1918,1.8,-5.9,-2.0,148,-9999.0,103,0,601,1,3,81,0,0,69
Dec,1918,-0.7,-7.7,-4.2,260,-9999.0,154,0,686,0,2,176,0,0,75
Jan,1919,0.5,-6.2,-2.8,160,-9999.0,124,0,647,0,3,78,0,0,73
Feb,1919,-3.5,-10.6,-7.1,229,-9999.0,212,0,698,0,1,216,0,0,70
Mar,1919,-0.7,-8.9,-4.8,149,-9999.0,175,0,709,0,1,144,0,0,66
Apr,1919,5.1,-3.0,1.0,111,-9999.0,42,7,510,0,6,73,41,0,70
May,1919,9.0,-1.8,3.6,80,-9999.0,11,30,445,0,8,36,68,0,63
Jun,1919,12.6,0.7,6.7,44,-9999.0,2,71,340,0,16,6,85,41,61
Jul,1919,16.8,4.3,10.6,25,-9999.0,0,171,231,0,28,1,101,76,60
Aug,1919,17.2,5.8,11.5,33,-9999.0,0,200,204,2,30,1,84,51,64
Sep,1919,14.2,3.8,9.0,39,-9999.0,1,129,271,2,24,3,53,14,66
Oct,1919,4.9,-4.6,0.1,49,-9999.0,57,14,556,0,4,30,23,0,65
Nov,1919,0.4,-6.6,-3.1,249,-9999.0,128,0,632,1,3,161,0,0,71
Dec,1919,-1.0,-9.4,-5.2,218,-9999.0,181,0,716,0,1,167,0,0,71
Jan,1920,-0.5,-8.2,-4.4,141,-9999.0,162,0,694,0,2,89,0,0,68
Feb,1920,0.9,-8.6,-3.9,32,-9999.0,135,0,609,0,1,25,0,0,62
Mar,1920,0.0,-6.9,-3.4,175,-9999.0,138,0,666,0,2,162,0,0,71
Apr,1920,2.9,-6.0,-1.5,104,-9999.0,87,0,586,0,2,94,0,0,65
May,1920,8.0,-2.9,2.5,37,-9999.0,20,21,480,0,6,21,65,28,62
Jun,1920,12.3,1.4,6.8,72,-9999.0,2,74,335,0,19,10,82,10,64
Jul,1920,18.0,6.3,12.1,37,-9999.0,0,221,183,2,30,1,103,65,63
Aug,1920,17.8,5.8,11.8,101,-9999.0,0,211,194,2,30,3,87,0,62
Sep,1920,10.5,3.5,7.0,343,-9999.0,2,80,331,0,24,45,40,0,76
Oct,1920,3.6,-1.9,0.9,217,-9999.0,44,17,533,0,9,106,18,0,80
Nov,1920,2.3,-4.8,-1.2,211,-9999.0,86,0,577,1,4,99,0,0,72
Dec,1920,-0.5,-5.6,-3.0,275,-9999.0,124,0,648,0,4,151,0,0,65
Jan,1921,-1.6,-7.9,-4.7,268,-9999.0,171,0,705,0,2,178,0,0,74
Feb,1921,-0.4,-7.2,-3.8,213,-9999.0,132,0,606,0,2,163,0,0,72
Mar,1921,0.2,-7.2,-3.5,127,-9999.0,141,0,670,0,2,118,0,0,70
Apr,1921,3.6,-5.2,-0.8,95,-9999.0,72,0,565,0,3,81,0,0,66
May,1921,10.3,-0.8,4.7,18,-9999.0,6,43,411,0,11,6,72,54,63
Jun,1921,12.8,2.9,7.8,95,-9999.0,1,95,305,0,24,8,81,0,68
Jul,1921,15.3,4.4,9.9,28,-9999.0,0,148,253,0,29,1,91,63,65
Aug,1921,14.5,6.1,10.3,119,-9999.0,0,163,240,1,30,5,69,0,73
Sep,1921,9.7,2.9,6.3,241,-9999.0,3,67,351,0,22,38,39,0,77
Oct,1921,8.4,-0.1,4.1,354,-9999.0,14,44,431,0,14,42,27,0,71
Nov,1921,1.0,-5.6,-2.3,165,-9999.0,110,0,609,1,3,95,0,0,73
Dec,1921,-3.6,-10.3,-7.0,142,-9999.0,230,0,770,0,1,124,0,0,79
Jan,1922,-3.3,-10.1,-6.7,79,-9999.0,223,0,766,0,1,64,0,0,71
Feb,1922,-5.7,-13.5,-9.6,211,-9999.0,267,0,768,0,0,207,0,0,66
Mar,1922,-0.7,-8.1,-4.4,100,-9999.0,164,0,696,0,1,96,0,0,69
Apr,1922,2.9,-5.7,-1.4,91,-9999.0,85,0,583,0,2,81,0,0,67
May,1922,9.3,-1.8,3.7,35,-9999.0,11,31,442,0,8,15,69,34,62
Jun,1922,17.0,3.1,10.1,7,-9999.0,0,153,239,1,24,0,105,97,56
Jul,1922,17.4,5.5,11.5,11,-9999.0,0,199,204,1,30,0,101,91,62
Aug,1922,16.1,6.5,11.3,104,-9999.0,0,194,209,2,30,3,77,0,69
Sep,1922,13.0,4.7,8.9,192,-9999.0,1,126,274,2,26,14,47,0,73
Oct,1922,7.9,-0.3,3.8,86,-9999.0,16,40,442,0,14,12,26,0,72
Nov,1922,1.9,-6.7,-2.4,41,-9999.0,112,0,612,0,2,24,0,0,66
Dec,1922,-4.6,-10.9,-7.7,305,-9999.0,251,0,795,0,1,278,0,0,71
Jan,1923,-2.6,-8.7,-5.6,223,-9999.0,196,0,734,0,2,166,0,0,74
Feb,1923,-2.6,-11.5,-7.0,136,-9999.0,212,0,697,0,0,128,0,0,63
Mar,1923,0.7,-7.7,-3.5,100,-9999.0,140,0,669,0,1,93,0,0,66
Apr,1923,6.2,-4.3,0.9,26,-9999.0,43,7,512,0,4,17,46,21,62
May,1923,9.5,0.0,4.7,68,-9999.0,6,43,411,0,14,22,67,0,68
Jun,1923,14.2,3.2,8.7,79,-9999.0,1,115,281,0,24,4,88,9,64
Jul,1923,17.3,6.5,11.9,37,-9999.0,0,215,189,2,30,1,98,60,66
Aug,1923,17.2,6.7,12.0,47,-9999.0,0,216,189,2,30,1,82,34,67
Sep,1923,13.5,3.3,8.4,103,-9999.0,1,113,289,2,23,9,51,0,66
Oct,1923,7.8,-1.5,3.1,39,-9999.0,20,33,463,0,10,8,26,0,67
Nov,1923,3.5,-4.1,-0.3,97,-9999.0,68,3,549,1,5,37,0,0,71
Dec,1923,-1.1,-6.8,-4.0,402,-9999.0,148,0,679,0,2,263,0,0,73
Jan,1924,-2.4,-7.6,-5.0,192,-9999.0,179,0,714,0,2,133,0,0,78
Feb,1924,2.2,-3.6,-0.7,314,-9999.0,72,0,520,0,5,130,0,0,77
Mar,1924,0.8,-8.0,-3.6,51,-9999.0,143,0,672,0,1,47,0,0,64
Apr,1924,3.6,-4.3,-0.3,69,-9999.0,63,1,550,0,4,56,0,0,70
May,1924,12.7,0.2,6.5,9,-9999.0,3,71,357,0,15,1,83,73,59
Jun,1924,14.6,2.8,8.7,61,-9999.0,1,115,280,0,23,3,92,31,62
Jul,1924,16.7,5.9,11.3,30,-9999.0,0,193,209,1,30,1,96,66,66
Aug,1924,15.6,6.2,10.9,44,-9999.0,0,181,222,1,30,2,75,31,70
Sep,1924,13.4,3.5,8.4,223,-9999.0,1,114,287,2,24,18,51,0,68
Oct,1924,6.9,0.2,3.6,233,-9999.0,17,38,449,0,15,37,23,0,77
Nov,1924,0.0,-6.6,-3.3,162,-9999.0,134,0,639,1,3,108,0,0,73
Dec,1924,-3.4,-10.8,-7.1,154,-9999.0,235,0,776,0,1,137,0,0,76
Jan,1925,-0.8,-6.6,-3.7,241,-9999.0,145,0,674,0,3,137,0,0,76
Feb,1925,0.0,-5.4,-2.7,264,-9999.0,108,0,576,0,3,173,0,0,77
Mar,1925,1.5,-5.6,-2.1,110,-9999.0,105,0,624,0,3,92,0,0,72
Apr,1925,6.0,-3.2,1.4,63,-9999.0,37,8,499,0,6,39,45,0,67
May,1925,13.0,0.6,6.8,49,-9999.0,2,78,347,0,16,7,84,35,60
Jun,1925,14.9,2.6,8.8,37,-9999.0,1,118,277,0,23,2,94,57,61
Jul,1925,18.1,6.0,12.1,32,-9999.0,0,219,185,2,30,1,104,72,62
Aug,1925,15.2,5.9,10.6,128,-9999.0,0,171,232,1,30,5,74,0,70
Sep,1925,12.9,3.3,8.1,21,-9999.0,2,106,297,1,23,2,49,28,68
Oct,1925,7.1,-2.9,2.1,34,-9999.0,29,25,495,0,7,11,26,0,64
