,Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays < 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
40,1941,-4.3,-10.0,-7.1,285,691,1,2264,0,3,250,0,0,76
41,1942,-5.6,-11.9,-8.7,308,822,1,2417,0,1,287,0,0,72
42,1943,-7.2,-14.0,-10.6,441,996,0,2589,0,1,423,0,0,70
43,1944,-5.7,-13.4,-9.5,315,894,0,2503,0,1,304,0,0,67
44,1945,-5.9,-12.2,-9.1,443,787,1,2385,0,2,418,0,0,72
45,1946,-5.5,-11.7,-8.6,445,801,1,2403,0,1,416,0,0,73
46,1947,-5.4,-13.0,-9.2,330,810,1,2395,0,1,315,0,0,67
47,1948,-5.7,-12.6,-9.2,314,1002,0,2609,0,1,297,0,0,70
48,1949,-10.2,-18.7,-14.5,434,1238,0,2843,0,0,432,0,0,62
49,1950,-10.6,-17.9,-14.2,513,1162,5,2755,0,2,504,0,0,67
50,1951,-6.2,-12.4,-9.3,583,1071,0,2676,0,0,541,0,0,73
51,1952,-8.6,-15.4,-12.0,575,893,1,2492,0,1,568,0,0,70
52,1953,-3.5,-9.3,-6.4,454,626,2,2189,0,3,363,0,0,75
53,1954,-5.2,-11.2,-8.2,483,799,1,2376,0,2,447,0,0,74
54,1955,-6.2,-12.7,-9.5,323,979,0,2584,0,1,307,0,0,72
55,1956,-8.2,-14.8,-11.5,529,952,0,2554,0,1,510,0,0,71
56,1957,-9.0,-16.5,-12.7,486,1088,1,2679,0,1,476,0,0,66
57,1958,-3.5,-8.3,-5.9,439,609,2,2169,0,4,370,0,0,79
58,1959,-6.3,-11.9,-9.1,614,857,1,2453,0,1,573,0,0,76
59,1960,-6.3,-12.9,-9.6,327,903,0,2509,0,1,314,0,0,71
60,1961,-4.7,-10.0,-7.3,367,717,1,2299,0,3,334,0,0,77
61,1962,-6.8,-13.0,-9.9,558,778,1,2365,0,2,538,0,0,73
62,1963,-4.4,-10.9,-7.7,268,814,1,2394,0,2,238,0,0,72
63,1964,-5.1,-11.2,-8.1,480,879,1,2475,0,1,436,0,0,73
64,1965,-6.7,-12.5,-9.6,619,767,1,2357,0,2,579,0,0,75
65,1966,-5.7,-11.5,-8.6,423,742,1,2324,0,2,396,0,0,75
66,1967,-3.3,-9.2,-6.3,468,699,1,2277,0,2,391,0,0,75
67,1968,-4.8,-11.6,-8.2,433,844,1,2435,0,1,404,0,0,71
68,1969,-10.0,-17.0,-13.5,612,1088,0,2682,0,1,607,0,0,68
69,1970,-5.0,-10.9,-8.0,456,844,1,2435,0,1,421,0,0,74
70,1971,-6.5,-12.5,-9.5,620,953,0,2553,0,1,592,0,0,74
71,1972,-8.7,-15.6,-12.1,679,1031,0,2639,0,1,671,0,0,69
72,1973,-7.0,-13.6,-10.3,385,807,1,2393,0,2,375,0,0,71
73,1974,-4.9,-10.4,-7.6,543,760,1,2340,0,2,492,0,0,76
74,1975,-7.1,-13.9,-10.5,703,964,0,2560,0,1,669,0,0,70
75,1976,-4.9,-11.2,-8.0,437,724,1,2307,0,2,398,0,0,73
76,1977,-5.2,-11.2,-8.2,302,888,1,2480,0,1,281,0,0,74
77,1978,-6.9,-12.4,-9.7,527,946,0,2543,0,1,508,0,0,76
78,1979,-9.3,-17.0,-13.2,412,999,1,2588,0,1,409,0,0,65
79,1980,-6.1,-11.8,-9.0,357,884,1,2473,0,2,332,0,0,75
80,1981,-4.3,-8.9,-6.6,425,669,1,2239,0,4,378,0,0,80
81,1982,-6.6,-12.6,-9.6,627,885,0,2497,0,1,599,0,0,74
82,1983,-4.7,-9.5,-7.1,592,831,1,2405,0,3,514,0,0,79
83,1984,-6.8,-12.7,-9.7,398,892,1,2481,0,2,375,0,0,74
84,1985,-8.4,-14.4,-11.4,314,907,0,2515,0,1,310,0,0,73
85,1986,-6.1,-11.3,-8.7,359,759,1,2342,0,2,327,0,0,77
86,1987,-5.0,-10.5,-7.8,221,755,1,2344,0,2,201,0,0,76
87,1988,-5.6,-11.6,-8.6,375,788,1,2376,0,2,354,0,0,74
88,1989,-7.0,-12.9,-10.0,380,826,1,2414,0,3,358,0,0,74
89,1990,-5.1,-10.3,-7.7,361,932,1,2528,0,1,314,0,0,77
90,1991,-6.8,-12.0,-9.4,506,692,2,2260,0,4,475,0,0,77
91,1992,-3.2,-7.7,-5.5,299,721,2,2288,0,4,235,0,0,81
92,1993,-8.6,-14.4,-11.5,389,901,1,2494,0,2,383,0,0,74
93,1994,-5.0,-9.1,-7.1,473,699,2,2280,0,4,421,0,0,82
94,1995,-5.2,-10.0,-7.6,405,735,1,2321,0,2,369,0,0,79
95,1996,-7.2,-12.8,-10.0,501,1015,0,2625,0,1,484,0,0,75
96,1997,-7.1,-13.0,-10.0,444,747,1,2339,0,2,428,0,0,74
97,1998,-4.6,-9.7,-7.1,435,725,1,2310,0,2,391,0,0,78
98,1999,-4.9,-9.5,-7.2,506,623,2,2186,0,4,450,0,0,80
99,2000,-5.1,-9.5,-7.3,435,775,1,2370,0,2,388,0,0,81
100,2001,-5.9,-10.7,-8.3,260,732,1,2315,0,3,242,0,0,79
101,2002,-4.8,-9.7,-7.3,393,641,2,2208,0,4,350,0,0,79
102,2003,-3.8,-8.2,-6.0,387,649,2,2214,0,4,298,0,0,81
103,2004,-5.4,-10.1,-7.8,410,672,1,2248,0,3,372,0,0,80
104,2005,-4.4,-9.5,-6.9,332,730,1,2313,0,2,281,0,0,78
105,2006,-4.8,-9.2,-7.0,499,651,2,2218,0,4,405,0,0,81
106,2007,-5.4,-9.8,-7.6,363,732,1,2318,0,3,331,0,0,81
107,2008,-5.3,-10.8,-8.1,396,848,1,2437,0,2,368,0,0,76
108,2009,-6.9,-11.7,-9.3,527,820,1,2417,0,2,502,0,0,79
109,2010,-4.3,-8.4,-6.3,326,545,3,2095,0,7,266,0,0,82
110,2011,-5.6,-9.7,-7.6,411,685,1,2263,0,3,363,0,0,82
111,2012,-5.2,-9.4,-7.3,366,714,1,2293,0,3,336,0,0,82
112,2013,-4.6,-8.5,-6.6,397,683,1,2256,0,4,343,0,0,83
113,2014,-6.2,-10.1,-8.2,283,721,1,2295,0,4,250,0,0,83
114,2015,-3.3,-7.0,-5.2,448,530,3,2077,0,7,341,0,0,84
115,2016,-4.0,-7.2,-5.6,554,673,2,2239,0,5,448,0,0,86
116,2017,-7.9,-12.1,-10.0,365,827,1,2426,0,2,356,0,0,81
117,2018,-6.2,-9.1,-7.7,642,665,2,2243,0,5,552,0,0,87
118,2019,-6.2,-10.3,-8.3,307,780,1,2355,0,3,267,0,0,82
